"species_id","species_name"
4932,"Saccharomyces cerevisiae"
6239,"Caenorhabditis elegans"
7227,"Drosophila melanogaster"
7955,"Danio rerio"
9031,"Gallus gallus"
9615,"Canis lupus familiaris"
9823,"Sus scrofa"
9913,"Bos taurus"
10090,"Mus musculus"
10116,"Rattus norvegicus"
